"Date"	"amr_class"	"amr"
2015-03-01	"Aminoglycoside"	274.7372
2015-03-01	"Amphenicol"	7.6697
2015-03-01	"Beta.lactam"	462.4975
2015-03-01	"Lincosamide"	505.5134
2015-03-01	"Macrolide"	1202.5372
2015-03-01	"Pleuromutilin"	9.0474
2015-03-01	"Tetracycline"	2801.9256
2015-04-01	"Aminoglycoside"	368.4149
2015-04-01	"Amphenicol"	19.2998
2015-04-01	"Beta.lactam"	379.4301
2015-04-01	"Lincosamide"	587.3202
2015-04-01	"Macrolide"	1164.8485
2015-04-01	"Pleuromutilin"	22.5333
2015-04-01	"Tetracycline"	3529.8212
2015-05-01	"Aminoglycoside"	259.1023
2015-05-01	"Amphenicol"	4.3818
2015-05-01	"Beta.lactam"	346.7331
2015-05-01	"Lincosamide"	539.8259
2015-05-01	"Macrolide"	1028.9957
2015-05-01	"Pleuromutilin"	7.5855
2015-05-01	"Tetracycline"	3011.3663
2015-06-01	"Aminoglycoside"	381.4182
2015-06-01	"Amphenicol"	6.5447
2015-06-01	"Beta.lactam"	393.8981
2015-06-01	"Lincosamide"	618.9903
2015-06-01	"Macrolide"	1419.7728
2015-06-01	"Pleuromutilin"	9.994
2015-06-01	"Tetracycline"	3745.9066
2015-07-01	"Aminoglycoside"	364.4977
2015-07-01	"Amphenicol"	9.6916
2015-07-01	"Beta.lactam"	364.2984
2015-07-01	"Lincosamide"	565.539
2015-07-01	"Macrolide"	1085.5522
2015-07-01	"Pleuromutilin"	13.9672
2015-07-01	"Tetracycline"	3401.1428
2015-08-01	"Aminoglycoside"	445.865
2015-08-01	"Amphenicol"	10.9881
2015-08-01	"Beta.lactam"	338.0191
2015-08-01	"Lincosamide"	596.9815
2015-08-01	"Macrolide"	1262.6182
2015-08-01	"Pleuromutilin"	15.6929
2015-08-01	"Tetracycline"	3667.7029
2015-09-01	"Aminoglycoside"	388.6125
2015-09-01	"Amphenicol"	53.6109
2015-09-01	"Beta.lactam"	268.7881
2015-09-01	"Lincosamide"	304.4741
2015-09-01	"Macrolide"	692.5507
2015-09-01	"Pleuromutilin"	6.735
2015-09-01	"Tetracycline"	2762.8457
2015-10-01	"Aminoglycoside"	221.4419
2015-10-01	"Amphenicol"	6.2972
2015-10-01	"Beta.lactam"	305.6611
2015-10-01	"Lincosamide"	372.9715
2015-10-01	"Macrolide"	915.2939
