"Date"	"amr"	"amr_class"
2015-03-01	380.229414773477	"Aminoglycoside"
2015-04-01	509.877009086608	"Aminoglycoside"
2015-05-01	358.591104136833	"Aminoglycoside"
2015-06-01	527.873251128545	"Aminoglycoside"
2015-07-01	504.455702239371	"Aminoglycoside"
2015-08-01	617.066010784039	"Aminoglycoside"
2015-09-01	537.829982429238	"Aminoglycoside"
2015-10-01	306.470052265681	"Aminoglycoside"
2015-11-01	598.824528373132	"Aminoglycoside"
2015-12-01	478.394677165273	"Aminoglycoside"
2016-01-01	353.950497583818	"Aminoglycoside"
2016-02-01	311.933570350241	"Aminoglycoside"
2016-03-01	362.489902399588	"Aminoglycoside"
2016-04-01	416.532878038545	"Aminoglycoside"
2016-05-01	408.622630561759	"Aminoglycoside"
2016-06-01	704.97084330994	"Aminoglycoside"
2016-07-01	642.331789079201	"Aminoglycoside"
2016-08-01	577.604766374105	"Aminoglycoside"
2016-09-01	512.877743669008	"Aminoglycoside"
2016-10-01	421.607083957239	"Aminoglycoside"
2016-11-01	382.66285800576	"Aminoglycoside"
2016-12-01	479.520071179072	"Aminoglycoside"
2017-01-01	309.479644288044	"Aminoglycoside"
2017-02-01	450.746677459887	"Aminoglycoside"
2017-03-01	348.323808847444	"Aminoglycoside"
2017-04-01	377.453852922632	"Aminoglycoside"
2017-05-01	404.077656680843	"Aminoglycoside"
2017-06-01	316.350249749196	"Aminoglycoside"
2017-07-01	585.72838819562	"Aminoglycoside"
2017-08-01	473.114758110967	"Aminoglycoside"
2017-09-01	385.524226306245	"Aminoglycoside"
2017-10-01	337.505414715369	"Aminoglycoside"
2017-11-01	285.665863358035	"Aminoglycoside"
2017-12-01	330.239822790876	"Aminoglycoside"
2018-01-01	714.002110532019	"Aminoglycoside"
2018-02-01	347.536327075751	"Aminoglycoside"
2018-03-01	256.839601794072	"Aminoglycoside"
2018-04-01	457.941963454675	"Aminoglycoside"
2018-05-01	434.179943189448	"Aminoglycoside"
2018-06-01	491.108785792913	"Aminoglycoside"
2018-07-01	296.893775690891	"Aminoglycoside"
2018-08-01	405.830184215984	"Aminoglycoside"
2018-09-01	429.147256520579	"Aminoglycoside"
2018-10-01	627.430737913019	"Aminoglycoside"
2018-11-01	485.224124117622	"Aminoglycoside"
2018-12-01	260.566784850922	"Aminoglycoside"
2019-01-01	261.2109	"Aminoglycoside"
2019-02-01	334.1476	"Aminoglycoside"
2019-03-01	354.7534	"Aminoglycoside"
2019-04-01	379.8058	"Aminoglycoside"
2019-05-01	378.6903	"Aminoglycoside"
2019-06-01	319.9703	"Aminoglycoside"
2019-07-01	376.519	"Aminoglycoside"
2019-08-01	525.8786	"Aminoglycoside"
2019-09-01	408.4582	"Aminoglycoside"
2019-10-01	553.5717	"Aminoglycoside"
2019-11-01	517.4153	"Aminoglycoside"
2019-12-01	334.302	"Aminoglycoside"
2020-01-01	192.3536	"Aminoglycoside"
2020-02-01	354.1251	"Aminoglycoside"
2020-03-01	424.5486	"Aminoglycoside"
2020-04-01	396.068	"Aminoglycoside"
2020-05-01	203.1795	"Aminoglycoside"
2020-06-01	467.534	"Aminoglycoside"
2020-07-01	704.0108	"Aminoglycoside"
2020-08-01	460.8633	"Aminoglycoside"
2020-09-01	345.7904	"Aminoglycoside"
2020-10-01	287.2311	"Aminoglycoside"
2020-11-01	350.6615	"Aminoglycoside"
2020-12-01	643.3386	"Aminoglycoside"
2021-01-01	477.9738	"Aminoglycoside"
2021-02-01	296.8501	"Aminoglycoside"
2021-03-01	542.6119	"Aminoglycoside"
2021-04-01	380.6985	"Aminoglycoside"
2021-05-01	274.9715	"Aminoglycoside"
2021-06-01	350.0584	"Aminoglycoside"
2021-07-01	281.487	"Aminoglycoside"
2021-08-01	404.359	"Aminoglycoside"
2021-09-01	501.1749	"Aminoglycoside"
2021-10-01	463.3802	"Aminoglycoside"
2021-11-01	334.6972	"Aminoglycoside"
2021-12-01	227.4707	"Aminoglycoside"
2022-01-01	375.2193	"Aminoglycoside"
2022-02-01	531.2724	"Aminoglycoside"
2022-03-01	260.1154	"Aminoglycoside"
2022-04-01	767.81	"Aminoglycoside"
2022-05-01	381.0774	"Aminoglycoside"
2022-06-01	529.8474	"Aminoglycoside"
2022-07-01	609.1822	"Aminoglycoside"
2022-08-01	454.3878	"Aminoglycoside"
