"Date"	"amr"	"amr_class"
2015-03-01	274.7372	"Aminoglycoside"
2015-04-01	368.4149	"Aminoglycoside"
2015-05-01	259.1023	"Aminoglycoside"
2015-06-01	381.4182	"Aminoglycoside"
2015-07-01	364.4977	"Aminoglycoside"
2015-08-01	445.865	"Aminoglycoside"
2015-09-01	388.6125	"Aminoglycoside"
2015-10-01	221.4419	"Aminoglycoside"
2015-11-01	432.6845	"Aminoglycoside"
2015-12-01	345.667139344262	"Aminoglycoside"
2016-01-01	255.7492	"Aminoglycoside"
2016-02-01	225.3896	"Aminoglycoside"
2016-03-01	261.919401666667	"Aminoglycoside"
2016-04-01	300.9685	"Aminoglycoside"
2016-05-01	295.2529	"Aminoglycoside"
2016-06-01	509.3812	"Aminoglycoside"
2016-07-01	464.12095	"Aminoglycoside"
2016-08-01	417.352025	"Aminoglycoside"
2016-09-01	370.5831	"Aminoglycoside"
2016-10-01	304.6349	"Aminoglycoside"
2016-11-01	276.4955	"Aminoglycoside"
2016-12-01	346.4803	"Aminoglycoside"
2017-01-01	223.6165	"Aminoglycoside"
2017-02-01	325.6899	"Aminoglycoside"
2017-03-01	251.6836	"Aminoglycoside"
2017-04-01	272.7317	"Aminoglycoside"
2017-05-01	291.9689	"Aminoglycoside"
2017-06-01	228.5809	"Aminoglycoside"
2017-07-01	423.2218	"Aminoglycoside"
2017-08-01	341.8521	"Aminoglycoside"
2017-09-01	278.563	"Aminoglycoside"
2017-10-01	243.8667	"Aminoglycoside"
2017-11-01	206.4097	"Aminoglycoside"
2017-12-01	238.6169	"Aminoglycoside"
2018-01-01	515.9068	"Aminoglycoside"
2018-02-01	251.1146	"Aminoglycoside"
2018-03-01	185.5811	"Aminoglycoside"
2018-04-01	330.8889	"Aminoglycoside"
2018-05-01	313.7195	"Aminoglycoside"
2018-06-01	354.8538	"Aminoglycoside"
2018-07-01	214.5225	"Aminoglycoside"
2018-08-01	293.2352	"Aminoglycoside"
2018-09-01	310.0831	"Aminoglycoside"
2018-10-01	453.3541	"Aminoglycoside"
2018-11-01	350.6018	"Aminoglycoside"
2018-12-01	188.2742	"Aminoglycoside"
2019-01-01	261.2109	"Aminoglycoside"
2019-02-01	334.1476	"Aminoglycoside"
2019-03-01	354.7534	"Aminoglycoside"
2019-04-01	379.8058	"Aminoglycoside"
2019-05-01	378.6903	"Aminoglycoside"
2019-06-01	319.9703	"Aminoglycoside"
2019-07-01	376.519	"Aminoglycoside"
2019-08-01	525.8786	"Aminoglycoside"
2019-09-01	408.4582	"Aminoglycoside"
2019-10-01	553.5717	"Aminoglycoside"
2019-11-01	517.4153	"Aminoglycoside"
2019-12-01	334.302	"Aminoglycoside"
2020-01-01	192.3536	"Aminoglycoside"
2020-02-01	354.1251	"Aminoglycoside"
2020-03-01	424.5486	"Aminoglycoside"
2020-04-01	396.068	"Aminoglycoside"
2020-05-01	203.1795	"Aminoglycoside"
2020-06-01	467.534	"Aminoglycoside"
2020-07-01	704.0108	"Aminoglycoside"
2020-08-01	460.8633	"Aminoglycoside"
2020-09-01	345.7904	"Aminoglycoside"
2020-10-01	287.2311	"Aminoglycoside"
2020-11-01	350.6615	"Aminoglycoside"
2020-12-01	643.3386	"Aminoglycoside"
2021-01-01	477.9738	"Aminoglycoside"
2021-02-01	296.8501	"Aminoglycoside"
2021-03-01	542.6119	"Aminoglycoside"
2021-04-01	380.6985	"Aminoglycoside"
2021-05-01	274.9715	"Aminoglycoside"
2021-06-01	350.0584	"Aminoglycoside"
2021-07-01	281.487	"Aminoglycoside"
2021-08-01	404.359	"Aminoglycoside"
2021-09-01	501.1749	"Aminoglycoside"
2021-10-01	463.3802	"Aminoglycoside"
2021-11-01	334.6972	"Aminoglycoside"
2021-12-01	227.4707	"Aminoglycoside"
2022-01-01	375.2193	"Aminoglycoside"
2022-02-01	531.2724	"Aminoglycoside"
2022-03-01	260.1154	"Aminoglycoside"
2022-04-01	767.81	"Aminoglycoside"
2022-05-01	381.0774	"Aminoglycoside"
2022-06-01	529.8474	"Aminoglycoside"
2022-07-01	609.1822	"Aminoglycoside"
2022-08-01	454.3878	"Aminoglycoside"
2022-09-01	375.5682	"Aminoglycoside"
2022-10-01	472.5079	"Aminoglycoside"
2022-11-01	332.6068	"Aminoglycoside"
2022-12-01	486.3395	"Aminoglycoside"
2015-03-01	7.6697	"Amphenicol"
2015-04-01	19.2998	"Amphenicol"
2015-05-01	4.3818	"Amphenicol"
2015-06-01	6.5447	"Amphenicol"
2015-07-01	9.6916	"Amphenicol"
2015-08-01	10.9881	"Amphenicol"
2015-09-01	53.6109	"Amphenicol"
2015-10-01	6.2972	"Amphenicol"
2015-11-01	10.4089	"Amphenicol"
2015-12-01	7.01112950819672	"Amphenicol"
2016-01-01	3.5001	"Amphenicol"
2016-02-01	6.9946	"Amphenicol"
2016-03-01	6.640365	"Amphenicol"
2016-04-01	6.2617	"Amphenicol"
2016-05-01	5.1418	"Amphenicol"
2016-06-01	7.7905	"Amphenicol"
2016-07-01	8.88973913043478	"Amphenicol"
2016-08-01	10.0256195652174	"Amphenicol"
2016-09-01	11.1615	"Amphenicol"
2016-10-01	7.1295	"Amphenicol"
2016-11-01	7.5089	"Amphenicol"
2016-12-01	18.5208	"Amphenicol"
2017-01-01	7.8622	"Amphenicol"
2017-02-01	6.6583	"Amphenicol"
2017-03-01	9.8419	"Amphenicol"
2017-04-01	6.6575	"Amphenicol"
2017-05-01	12.918	"Amphenicol"
2017-06-01	7.6419	"Amphenicol"
2017-07-01	13.342	"Amphenicol"
2017-08-01	8.646	"Amphenicol"
2017-09-01	16.3695	"Amphenicol"
2017-10-01	12.9456	"Amphenicol"
2017-11-01	7.5618	"Amphenicol"
2017-12-01	6.0677	"Amphenicol"
2018-01-01	16.1579	"Amphenicol"
2018-02-01	10.5084	"Amphenicol"
2018-03-01	10.1527	"Amphenicol"
2018-04-01	13.9776	"Amphenicol"
2018-05-01	13.9759	"Amphenicol"
2018-06-01	10.0803	"Amphenicol"
2018-07-01	7.4833	"Amphenicol"
2018-08-01	9.0428	"Amphenicol"
2018-09-01	11.6506	"Amphenicol"
2018-10-01	10.2834	"Amphenicol"
2018-11-01	10.2231	"Amphenicol"
2018-12-01	10.0133	"Amphenicol"
2019-01-01	15.2531	"Amphenicol"
2019-02-01	20.4929	"Amphenicol"
2019-03-01	26.3969	"Amphenicol"
2019-04-01	23.442	"Amphenicol"
2019-05-01	13.0076	"Amphenicol"
2019-06-01	9.2878	"Amphenicol"
2019-07-01	29.5469	"Amphenicol"
2019-08-01	41.897	"Amphenicol"
2019-09-01	8.6607	"Amphenicol"
2019-10-01	19.8549	"Amphenicol"
2019-11-01	19.211	"Amphenicol"
2019-12-01	19.4703	"Amphenicol"
2020-01-01	7.5988	"Amphenicol"
2020-02-01	8.9686	"Amphenicol"
2020-03-01	23.5969	"Amphenicol"
2020-04-01	26.042	"Amphenicol"
2020-05-01	11.797	"Amphenicol"
2020-06-01	10.5428	"Amphenicol"
2020-07-01	26.7715	"Amphenicol"
2020-08-01	14.4303	"Amphenicol"
2020-09-01	14.1925	"Amphenicol"
2020-10-01	7.4977	"Amphenicol"
2020-11-01	10.9755	"Amphenicol"
2020-12-01	34.8611	"Amphenicol"
2021-01-01	18.7025	"Amphenicol"
2021-02-01	14.5352	"Amphenicol"
2021-03-01	29.3002	"Amphenicol"
2021-04-01	18.3414	"Amphenicol"
2021-05-01	8.748	"Amphenicol"
2021-06-01	16.8041	"Amphenicol"
2021-07-01	11.7076	"Amphenicol"
2021-08-01	40.5235	"Amphenicol"
2021-09-01	14.4322	"Amphenicol"
2021-10-01	24.5881	"Amphenicol"
2021-11-01	18.7102	"Amphenicol"
2021-12-01	11.1272	"Amphenicol"
2022-01-01	24.2931	"Amphenicol"
2022-02-01	32.0613	"Amphenicol"
2022-03-01	17.3438	"Amphenicol"
2022-04-01	42.3961	"Amphenicol"
2022-05-01	22.8523	"Amphenicol"
2022-06-01	33.9579	"Amphenicol"
2022-07-01	20.6326	"Amphenicol"
2022-08-01	32.5357	"Amphenicol"
2022-09-01	18.3484	"Amphenicol"
2022-10-01	43.4251	"Amphenicol"
2022-11-01	30.4179	"Amphenicol"
2022-12-01	47.1218	"Amphenicol"
2015-03-01	462.4975	"Beta.lactam"
2015-04-01	379.4301	"Beta.lactam"
2015-05-01	346.7331	"Beta.lactam"
2015-06-01	393.8981	"Beta.lactam"
2015-07-01	364.2984	"Beta.lactam"
2015-08-01	338.0191	"Beta.lactam"
2015-09-01	268.7881	"Beta.lactam"
2015-10-01	305.6611	"Beta.lactam"
2015-11-01	270.4811	"Beta.lactam"
2015-12-01	273.318116393443	"Beta.lactam"
2016-01-01	276.2497	"Beta.lactam"
2016-02-01	308.8664	"Beta.lactam"
2016-03-01	312.10744	"Beta.lactam"
2016-04-01	315.572	"Beta.lactam"
2016-05-01	307.3917	"Beta.lactam"
2016-06-01	283.7636	"Beta.lactam"
2016-07-01	286.541143478261	"Beta.lactam"
2016-08-01	289.41127173913	"Beta.lactam"
2016-09-01	292.2814	"Beta.lactam"
2016-10-01	361.5812	"Beta.lactam"
2016-11-01	386.7936	"Beta.lactam"
2016-12-01	290.8777	"Beta.lactam"
2017-01-01	331.6118	"Beta.lactam"
2017-02-01	292.1282	"Beta.lactam"
2017-03-01	312.0063	"Beta.lactam"
2017-04-01	302.9267	"Beta.lactam"
2017-05-01	298.1872	"Beta.lactam"
2017-06-01	298.2079	"Beta.lactam"
2017-07-01	317.939	"Beta.lactam"
2017-08-01	314.5612	"Beta.lactam"
2017-09-01	225.1587	"Beta.lactam"
2017-10-01	244.2523	"Beta.lactam"
2017-11-01	277.4527	"Beta.lactam"
2017-12-01	273.2712	"Beta.lactam"
2018-01-01	235.6997	"Beta.lactam"
2018-02-01	215.5535	"Beta.lactam"
2018-03-01	214.5104	"Beta.lactam"
2018-04-01	225.822	"Beta.lactam"
2018-05-01	181.0335	"Beta.lactam"
2018-06-01	192.0748	"Beta.lactam"
2018-07-01	263.236	"Beta.lactam"
2018-08-01	342.419	"Beta.lactam"
2018-09-01	202.7414	"Beta.lactam"
2018-10-01	615.7077	"Beta.lactam"
2018-11-01	233.928	"Beta.lactam"
2018-12-01	268.7728	"Beta.lactam"
2019-01-01	320.56785	"Beta.lactam"
2019-02-01	372.3629	"Beta.lactam"
2019-03-01	324.609	"Beta.lactam"
2019-04-01	317.2922	"Beta.lactam"
2019-05-01	271.1946	"Beta.lactam"
