"Date"	"amu"	"am_group"
2013-04-01	0.308576145606793	"Aminoglycosides"
2013-05-01	0.142093357693176	"Aminoglycosides"
2013-06-01	-0.00612317957521924	"Aminoglycosides"
2013-07-01	0.440125569194112	"Aminoglycosides"
2013-08-01	-0.327960434436717	"Aminoglycosides"
2013-09-01	0.0366597712594636	"Aminoglycosides"
2013-10-01	-0.474444870118594	"Aminoglycosides"
2013-11-01	-0.378828639394117	"Aminoglycosides"
2013-12-01	-0.219540983461684	"Aminoglycosides"
2014-01-01	-0.170098102688012	"Aminoglycosides"
2014-02-01	0.384659828338823	"Aminoglycosides"
2014-03-01	-0.00436593415742692	"Aminoglycosides"
2014-04-01	0.292215923292158	"Aminoglycosides"
2014-05-01	0.0215726869001109	"Aminoglycosides"
2014-06-01	0.33683342908218	"Aminoglycosides"
2014-07-01	-0.00278535004205516	"Aminoglycosides"
2014-08-01	0.0160190421633502	"Aminoglycosides"
2014-09-01	-0.128062595972736	"Aminoglycosides"
2014-10-01	-0.325425064309028	"Aminoglycosides"
2014-11-01	-0.562490154889215	"Aminoglycosides"
2014-12-01	-0.0947594952398845	"Aminoglycosides"
2015-01-01	-0.29515680421798	"Aminoglycosides"
2015-02-01	0.235607700675223	"Aminoglycosides"
2015-03-01	-0.0922241609414591	"Aminoglycosides"
2015-04-01	-0.0983325285659724	"Aminoglycosides"
2015-05-01	-0.168380772126723	"Aminoglycosides"
2015-06-01	-0.101899191418919	"Aminoglycosides"
2015-07-01	0.12356851609468	"Aminoglycosides"
2015-08-01	0.196365117463815	"Aminoglycosides"
2015-09-01	0.17675848562723	"Aminoglycosides"
2015-10-01	0.0950059023255392	"Aminoglycosides"
2015-11-01	-0.396604561453849	"Aminoglycosides"
2015-12-01	-0.13157414187072	"Aminoglycosides"
2016-01-01	-0.175999512568045	"Aminoglycosides"
2016-02-01	0.00859211436939056	"Aminoglycosides"
2016-03-01	-0.148630845719557	"Aminoglycosides"
2016-04-01	0.11116278261746	"Aminoglycosides"
2016-05-01	0.312497401474042	"Aminoglycosides"
2016-06-01	-0.0594677668968195	"Aminoglycosides"
2016-07-01	-0.0674193462855204	"Aminoglycosides"
2016-08-01	-0.217087164425184	"Aminoglycosides"
2016-09-01	0.012806123962565	"Aminoglycosides"
2016-10-01	-0.29480927594946	"Aminoglycosides"
2016-11-01	-0.560674877141484	"Aminoglycosides"
2016-12-01	-0.238214360712018	"Aminoglycosides"
2017-01-01	-0.244938385480546	"Aminoglycosides"
2017-02-01	0.346779082977691	"Aminoglycosides"
2017-03-01	-0.195183442885327	"Aminoglycosides"
2017-04-01	0.0596598424870605	"Aminoglycosides"
2017-05-01	-0.0160587807255572	"Aminoglycosides"
2017-06-01	0.036039991849214	"Aminoglycosides"
2017-07-01	0.180750748718145	"Aminoglycosides"
2017-08-01	0.0128172670462181	"Aminoglycosides"
2017-09-01	0.211607240988397	"Aminoglycosides"
2017-10-01	0.116726465953941	"Aminoglycosides"
2017-11-01	1.19925832667142	"Aminoglycosides"
2017-12-01	1.69426071104905	"Aminoglycosides"
2018-01-01	2.66360730280249	"Aminoglycosides"
2018-02-01	1.68824596661406	"Aminoglycosides"
2018-03-01	0.856434967581508	"Aminoglycosides"
2018-04-01	-0.00159049614423878	"Aminoglycosides"
2018-05-01	0.060184851480809	"Aminoglycosides"
2018-06-01	0.868265002814544	"Aminoglycosides"
2018-07-01	0.709818620772378	"Aminoglycosides"
2018-08-01	0.656274625283814	"Aminoglycosides"
2018-09-01	0.219654528205663	"Aminoglycosides"
2018-10-01	0.264687397113239	"Aminoglycosides"
2018-11-01	-0.626105781609713	"Aminoglycosides"
2018-12-01	-0.441701486286952	"Aminoglycosides"
2019-01-01	-0.139323022166508	"Aminoglycosides"
2019-02-01	0.20621155085599	"Aminoglycosides"
2019-03-01	0.739109889720371	"Aminoglycosides"
2019-04-01	-0.0788148193323721	"Aminoglycosides"
2019-05-01	0.275037033548674	"Aminoglycosides"
2019-06-01	0.0655799690383461	"Aminoglycosides"
2019-07-01	-0.215815215301355	"Aminoglycosides"
2019-08-01	-0.121398190223118	"Aminoglycosides"
2019-09-01	-0.612839971152766	"Aminoglycosides"
2019-10-01	0.561356241194737	"Aminoglycosides"
2019-11-01	0.249889317219917	"Aminoglycosides"
2019-12-01	-0.105295462394587	"Aminoglycosides"
2020-01-01	-0.26966001638144	"Aminoglycosides"
2020-02-01	-0.0283870587495407	"Aminoglycosides"
2020-03-01	0.888415018174509	"Aminoglycosides"
2020-04-01	0.882441574440495	"Aminoglycosides"
2020-05-01	0.147999911019106	"Aminoglycosides"
2020-06-01	-0.346220467529886	"Aminoglycosides"
2020-07-01	-0.38596334608469	"Aminoglycosides"
2020-08-01	0.00259400598531556	"Aminoglycosides"
2020-09-01	-0.0562944521059379	"Aminoglycosides"
2020-10-01	-0.468381714579159	"Aminoglycosides"
2020-11-01	-0.0461551657075816	"Aminoglycosides"
2020-12-01	0.174745005952648	"Aminoglycosides"
2021-01-01	-0.0524667889808761	"Aminoglycosides"
2021-02-01	0.126495209323092	"Aminoglycosides"
2021-03-01	0.227494479411309	"Aminoglycosides"
2021-04-01	-0.185259866958106	"Aminoglycosides"
2021-05-01	0.274306682243175	"Aminoglycosides"
2021-06-01	-0.107358743939287	"Aminoglycosides"
2021-07-01	0.241244101345245	"Aminoglycosides"
2021-08-01	0.112321813641749	"Aminoglycosides"
2021-09-01	-0.008577809523171	"Aminoglycosides"
2021-10-01	0.0809326782386037	"Aminoglycosides"
2021-11-01	-0.558435247653779	"Aminoglycosides"
2021-12-01	-0.554974491600955	"Aminoglycosides"
2022-01-01	-0.00218910095407665	"Aminoglycosides"
2022-02-01	0.116566492562892	"Aminoglycosides"
2022-03-01	-0.149212914052161	"Aminoglycosides"
2022-04-01	-0.00103476847120731	"Aminoglycosides"
2022-05-01	0.352352320383144	"Aminoglycosides"
2022-06-01	0.746403956871678	"Aminoglycosides"
2022-07-01	0.32639667096068	"Aminoglycosides"
2022-08-01	0.944881042920681	"Aminoglycosides"
2022-09-01	1.43015686722377	"Aminoglycosides"
2022-10-01	1.86400427874184	"Aminoglycosides"
2022-11-01	3.23054786762418	"Aminoglycosides"
2022-12-01	1.71085418592972	"Aminoglycosides"
2013-04-01	0.0313588534377687	"Amphenicols"
2013-05-01	-0.0392137168387428	"Amphenicols"
2013-06-01	0.0359554172659237	"Amphenicols"
2013-07-01	0.00553056412554309	"Amphenicols"
2013-08-01	-0.0673261508952265	"Amphenicols"
2013-09-01	-0.162558364848139	"Amphenicols"
2013-10-01	0.341980345764136	"Amphenicols"
2013-11-01	0.491803857665991	"Amphenicols"
2013-12-01	0.0174897366350637	"Amphenicols"
2014-01-01	-0.259052417577281	"Amphenicols"
2014-02-01	-0.375915184831288	"Amphenicols"
2014-03-01	0.129875849334718	"Amphenicols"
2014-04-01	0.250652524968835	"Amphenicols"
2014-05-01	-0.0114888954027428	"Amphenicols"
2014-06-01	-0.176782310141343	"Amphenicols"
2014-07-01	-0.248099809490823	"Amphenicols"
2014-08-01	-0.00374254223086001	"Amphenicols"
2014-09-01	0.088482577149628	"Amphenicols"
2014-10-01	-0.0373672080307638	"Amphenicols"
2014-11-01	-0.0108918830861421	"Amphenicols"
2014-12-01	0.257970306838064	"Amphenicols"
2015-01-01	0.149900677212519	"Amphenicols"
2015-02-01	0.0664796829764451	"Amphenicols"
2015-03-01	-0.240689351912582	"Amphenicols"
2015-04-01	-0.125910668202965	"Amphenicols"
2015-05-01	0.0127347243557572	"Amphenicols"
2015-06-01	0.0426905939283238	"Amphenicols"
2015-07-01	0.0279840054131766	"Amphenicols"
2015-08-01	0.0847185020472065	"Amphenicols"
2015-09-01	0.0770163824825947	"Amphenicols"
2015-10-01	0.039458985929403	"Amphenicols"
2015-11-01	0.000198104270757948	"Amphenicols"
2015-12-01	0.0268499777043638	"Amphenicols"
2016-01-01	0.236058683106152	"Amphenicols"
2016-02-01	0.0970919318829779	"Amphenicols"
2016-03-01	0.0942322188458844	"Amphenicols"
2016-04-01	-0.0538125796125644	"Amphenicols"
2016-05-01	-0.106989743087509	"Amphenicols"
2016-06-01	-0.0195932410184096	"Amphenicols"
2016-07-01	-0.106036697101157	"Amphenicols"
2016-08-01	0.0400618290027068	"Amphenicols"
2016-09-01	-0.0139575502139053	"Amphenicols"
2016-10-01	0.0628030203943697	"Amphenicols"
2016-11-01	-0.0164603242332422	"Amphenicols"
2016-12-01	0.0163359999826305	"Amphenicols"
2017-01-01	-0.0943623816799815	"Amphenicols"
2017-02-01	0.177434493440045	"Amphenicols"
2017-03-01	-0.0363539868030156	"Amphenicols"
2017-04-01	0.0156841961240686	"Amphenicols"
2017-05-01	-0.0279697406969093	"Amphenicols"
2017-06-01	-0.0152026493557764	"Amphenicols"
2017-07-01	0.136243481775243	"Amphenicols"
2017-08-01	-0.12774787999946	"Amphenicols"
2017-09-01	0.0244314010102613	"Amphenicols"
2017-10-01	-0.12422014703893	"Amphenicols"
2017-11-01	-0.0109577298081085	"Amphenicols"
2017-12-01	-0.0426353604504695	"Amphenicols"
