"sampleID"	"Date"	"sample_fragmentCount"
"DTU_2019_44_1_MG_pig_2015_mar_21_p_R1"	2015-03-01	40698059
"DTU_2019_46_1_MG_pig_2015_apr_22_p_R1"	2015-04-01	36470443
"DTU_2019_48_1_MG_pig_2015_maj_23_p_R1"	2015-05-01	36130801
"DTU_2019_50_1_MG_pig_2015_juni_24_p_R1"	2015-06-01	36591745
"DTU_2019_52_1_MG_pig_2015_juli_25_p_R1"	2015-07-01	37739513
"DTU_2019_54_1_MG_pig_2015_aug_26_p_R1"	2015-08-01	38712662
"DTU_2019_57_1_MG_pig_2015_sep_27_p_R1"	2015-09-01	36530285
"DTU_2019_59_1_MG_pig_2015_oct_28_p_R1"	2015-10-01	36135053
"DTU_2019_61_1_MG_pig_2015_nov_29_p_R1"	2015-11-01	38128057
"DTU_2019_63_1_MG_pig_2016_jan_30_p_R1"	2016-01-01	39321507
"DTU_2019_65_1_MG_pig_2016_feb_31_p_R1"	2016-02-01	36552251
"DTU_2019_67_1_MG_pig_2016_apr_32_p_R1"	2016-04-01	36664368
"DTU_2019_69_1_MG_pig_2016_maj_33_p_R1"	2016-05-01	45473618
"DTU_2019_71_1_MG_pig_2016_juni_34_p_R1"	2016-06-01	35701715
"DTU_2019_73_1_MG_pig_2016_sept_35_p_R1"	2016-09-01	41647172
"DTU_2019_76_1_MG_pig_2016_oct_36_p_R1"	2016-10-01	44558649
"DTU_2019_78_1_MG_pig_2016_nov_37_p_R1"	2016-11-01	47380518
"DTU_2019_80_1_MG_pig_2016_dec_38_p_R1"	2016-12-01	47156998
"DTU_2019_82_1_MG_pig_2017_jan_39_p_R1"	2017-01-01	42017975
"DTU_2019_84_1_MG_pig_2017_feb_40_p_R1"	2017-02-01	40123405
"DTU_2019_86_1_MG_pig_2017_mar_41_p_R1"	2017-03-01	43172103
"DTU_2019_88_1_MG_pig_2017_apr_42_p_R1"	2017-04-01	42910224
"DTU_2019_90_1_MG_pig_2017_maj_43_p_R1"	2017-05-01	38593345
"DTU_2019_92_1_MG_pig_2017_juni_44_p_R1"	2017-06-01	38139931
"DTU_2019_95_1_MG_pig_2017_juli_45_p_R1"	2017-07-01	35125980
"DTU_2019_98_1_MG_pig_2017_aug_46_p_R1"	2017-08-01	33584083
"DTU_2019_101_2_MG_pig_2017_sept_47_p_re_1_R1"	2017-09-01	30703220
"DTU_2019_103_1_MG_pig_2017_oct_48_p_R1"	2017-10-01	26329490
"DTU_2019_106_1_MG_pig_2017_nov_49_p_R1"	2017-11-01	37776957
"DTU_2019_108_1_MG_pig_2017_dec_50_p_R1"	2017-12-01	45258204
"DTU_2019_111_1_MG_pig_2018_jan_51_p_R1"	2018-01-01	37036078
"DTU_2019_113_1_MG_pig_2018_feb_52_p_R1"	2018-02-01	30337186
"DTU_2019_115_1_MG_pig_2018_mar_53_p_R1"	2018-03-01	31930154
"DTU_2019_117_1_MG_pig_2018_apr_54_p_R1"	2018-04-01	36638351
"DTU_2019_119_1_MG_pig_2018_maj_55_p_R1"	2018-05-01	40815033
"DTU_2019_121_1_MG_pig_2018_juni_56_p_R1"	2018-06-01	27527693
"DTU_2019_125_1_MG_pig_2018_july_57_p_R1"	2018-07-01	31185099
"DTU_2019_127_1_MG_pig_2018_aug_58_p_R1"	2018-08-01	29783836
"DTU_2019_129_1_MG_pig_2018_sept_59_p_R1"	2018-09-01	29434116
"DTU_2019_132_1_MG_pig_2018_oct_60_p_R1"	2018-10-01	28454603
"DTU_2019_134_1_MG_pig_2018_nov_61_p_R1"	2018-11-01	26603087
"DTU_2019_137_1_MG_pig_2018_dec_62_p_R1"	2018-12-01	26628246
"DTU_2023_1028658_1_MG_pig_2019_feb_63_p_S211_L006_R1"	2019-02-01	55512326
"DTU_2023_1028660_1_MG_pig_2019_mar_64_p_S0_L001_R1"	2019-03-01	46313105
"DTU_2023_1028662_1_MG_pig_2019_apr_65_p_S0_L001_R1"	2019-04-01	41472761
"DTU_2023_1028664_1_MG_pig_2019_maj_66_p_S36_L003_R1"	2019-05-01	76412580
"DTU_2023_1028666_1_MG_pig_2019_juni_67_p_S0_L001_R1"	2019-06-01	86149277
"DTU_2023_1028668_1_MG_pig_2019_july_68_p_S0_L001_R1"	2019-07-01	102568433
"DTU_2023_1028670_1_MG_pig_2019_aug_69_p_S1_L002_R1"	2019-08-01	43253036
"DTU_2023_1028672_1_MG_pig_2019_sept_70_p_S0_L001_R1"	2019-09-01	50975978
"DTU_2023_1028674_1_MG_pig_2019_oct_71_p_S0_L001_R1"	2019-10-01	50053459
"DTU_2023_1028676_1_MG_pig_2019_nov_72_p_S0_L001_R1"	2019-11-01	49863198
"DTU_2023_1028678_1_MG_pig_2019_dec_73_p_S0_L001_R1"	2019-12-01	47349074
"DTU_2023_1028680_1_MG_pig_2020_jan_74_p_S3_L002_R1"	2020-01-01	59923979
"DTU_2023_1028682_1_MG_pig_2020_feb_75_p_S0_L001_R1"	2020-02-01	59758686
"DTU_2023_1028684_1_MG_pig_2020_mar_76_p_S0_L001_R1"	2020-03-01	72011024
"DTU_2023_1028686_1_MG_pig_2020_apr_77_p_S191_L007_R1"	2020-04-01	44476996
"DTU_2023_1028688_1_MG_pig_2020_maj_78_p_S35_L003_R1"	2020-05-01	51805166
"DTU_2023_1028690_1_MG_pig_2020_juni_79_p_S0_L001_R1"	2020-06-01	50747204
